iter	Passed	Remaining
400	30859	46096
401	30945	46032
402	31022	45957
403	31096	45875
404	31178	45805
405	31255	45727
406	31330	45648
407	31411	45576
408	31498	45515
409	31575	45438
410	31654	45363
411	31748	45310
412	31830	45240
413	31914	45173
414	31996	45103
415	32089	45049
416	32209	45031
417	32338	45026
418	32470	45024
419	32585	44998
420	32698	44969
421	32801	44927
422	32915	44899
423	33049	44897
424	33165	44870
425	33280	44842
426	33376	44788
427	33456	44713
428	33531	44630
429	33615	44559
430	33693	44481
431	33764	44394
432	33832	44302
433	33904	44215
434	33979	44134
435	34063	44063
436	34133	43975
437	34214	43900
438	34295	43826
439	34375	43751
440	34465	43687
441	34558	43628
442	34639	43553
443	34729	43489
444	34816	43423
445	34898	43348
446	34977	43271
447	35066	43206
448	35141	43124
449	35207	43031
450	35271	42936
451	35332	42836
452	35391	42735
453	35442	42624
454	35496	42518
455	35559	42421
456	35629	42333
457	35699	42247
458	35765	42155
459	35826	42057
460	35898	41972
461	35971	41888
462	36047	41809
463	36099	41701
464	36158	41602
465	36219	41505
466	36277	41404
467	36329	41297
468	36389	41200
469	36447	41100
470	36509	41005
471	36579	40919
472	36642	40826
473	36731	40760
474	36813	40688
475	36896	40616
476	36974	40540
477	37046	40456
478	37101	40354
479	37154	40251
480	37210	40150
481	37275	40059
482	37336	39964
483	37386	39858
484	37441	39757
485	37497	39657
486	37558	39563
487	37621	39472
488	37683	39378
489	37755	39296
490	37828	39214
491	37918	39152
492	38012	39092
493	38087	39012
494	38183	38954
495	38244	38861
496	38317	38779
497	38391	38699
498	38476	38630
499	38556	38556
500	38646	38492
501	38747	38438
502	38838	38375
503	38941	38323
504	39020	38247
505	39100	38172
506	39185	38103
507	39265	38028
508	39349	37958
509	39428	37881
510	39517	37815
511	39586	37730
512	39665	37655
513	39749	37584
514	39864	37542
515	39939	37462
516	40039	37406
517	40127	37338
518	40189	37247
519	40254	37158
520	40318	37068
521	40381	36977
522	40447	36889
523	40517	36806
524	40586	36720
525	40655	36636
526	40717	36545
527	40787	36461
528	40843	36365
529	40901	36271
530	40980	36195
531	41043	36105
532	41133	36040
533	41196	35950
534	41264	35865
535	41333	35781
536	41405	35699
537	41475	35616
538	41549	35536
539	41613	35448
540	41676	35359
541	41751	35281
542	41824	35200
543	41906	35127
544	41986	35052
545	42057	34970
546	42130	34890
547	42218	34822
548	42282	34734
549	42345	34646
550	42425	34572
551	42507	34498
552	42582	34420
553	42765	34428
554	42856	34362
555	42944	34293
556	43028	34221
557	43109	34147
558	43213	34091
559	43315	34033
560	43409	33969
561	43497	33900
562	43593	33837
563	43673	33761
564	43756	33688
565	43825	33604
566	43916	33537
567	44005	33469
568	44127	33425
569	44199	33343
570	44290	33276
571	44394	33218
572	44474	33142
573	44549	33063
574	44629	32986
575	44698	32902
576	44788	32834
577	44881	32768
578	44970	32698
579	45049	32622
580	45116	32536
581	45191	32457
582	45269	32379
583	45338	32296
584	45405	32210
585	45476	32128
586	45568	32061
587	45656	31990
588	45737	31915
589	45818	31839
590	45903	31767
591	45979	31688
592	46061	31613
593	46146	31541
594	46217	31458
595	46290	31378
596	46370	31301
597	46455	31229
598	46524	31145
599	46602	31068
600	46680	30990
601	46766	30918
602	46849	30844
603	46933	30770
604	47018	30697
605	47096	30620
606	47180	30547
607	47265	30473
608	47339	30393
609	47399	30304
610	47453	30212
611	47506	30118
612	47572	30033
613	47645	29953
614	47726	29877
615	47796	29795
616	47849	29702
617	47899	29607
618	47958	29519
619	48022	29433
620	48095	29353
621	48148	29260
622	48205	29171
623	48271	29086
624	48344	29006
625	48422	28929
626	48497	28850
627	48556	28762
628	48617	28676
629	48671	28585
630	48736	28500
631	48796	28413
632	48851	28322
633	48913	28237
634	48993	28161
635	49068	28083
636	49149	28008
637	49233	27935
638	49312	27859
639	49372	27771
640	49435	27686
641	49521	27615
642	49599	27538
643	49680	27463
644	49763	27389
645	49845	27314
646	49926	27239
647	50003	27162
648	50068	27078
649	50127	26991
650	50187	26905
651	50236	26813
652	50297	26727
653	50351	26638
654	50406	26549
655	50468	26465
656	50531	26381
657	50602	26300
658	50654	26211
659	50725	26131
660	50795	26050
661	50864	25969
662	50941	25893
663	51012	25813
664	51068	25726
665	51129	25641
666	51195	25559
667	51270	25481
668	51334	25398
669	51404	25318
670	51493	25247
671	51578	25175
672	51662	25102
673	51747	25029
674	51833	24956
675	51931	24890
676	52013	24815
677	52101	24744
678	52179	24668
679	52262	24593
680	52346	24520
681	52429	24446
682	52514	24373
683	52598	24299
684	52670	24220
685	52732	24137
686	52813	24062
687	52904	23991
688	52979	23913
689	53050	23834
690	53115	23751
691	53183	23671
692	53260	23594
693	53328	23513
694	53396	23433
695	53454	23348
696	53507	23260
697	53574	23179
698	53638	23097
699	53701	23014
700	53773	22936
701	53829	22850
702	53906	22774
703	53961	22688
704	54015	22602
705	54079	22520
706	54138	22436
707	54189	22349
708	54250	22266
709	54305	22180
710	54372	22100
711	54445	22022
712	54511	21942
713	54588	21866
714	54666	21790
715	54743	21713
716	54819	21637
717	54899	21562
718	54968	21482
719	55035	21402
720	55087	21316
721	55158	21238
722	55236	21162
723	55308	21084
724	55389	21009
725	55464	20932
726	55548	20859
727	55635	20786
728	55712	20710
729	55788	20634
730	55871	20560
731	55930	20477
732	55980	20391
733	56031	20305
734	56089	20222
735	56142	20137
736	56216	20060
737	56273	19977
738	56340	19898
739	56404	19817
740	56476	19740
741	56541	19660
742	56616	19583
743	56696	19508
744	56766	19430
745	56919	19379
746	57008	19308
747	57090	19233
748	57156	19153
749	57222	19074
750	57281	18992
751	57367	18919
752	57458	18847
753	57537	18772
754	57624	18699
755	57694	18620
756	57771	18545
757	57843	18467
758	57906	18386
759	57990	18312
760	58068	18237
761	58144	18160
762	58208	18080
763	58315	18013
764	58412	17943
765	58524	17878
766	58621	17808
767	58708	17734
768	58794	17661
769	58877	17586
770	58965	17513
771	59059	17442
772	59168	17375
773	59269	17305
774	59359	17233
775	59455	17162
776	59538	17087
777	59629	17015
778	59720	16942
779	59801	16867
780	59869	16787
781	59951	16712
782	60032	16637
783	60107	16560
784	60176	16481
785	60242	16402
786	60309	16322
787	60367	16240
788	60420	16158
789	60472	16074
790	60528	15993
791	60578	15909
792	60637	15828
793	60710	15751
794	60779	15672
795	60867	15599
796	60948	15523
797	61026	15447
798	61109	15372
799	61169	15292
800	61237	15213
801	61304	15134
802	61379	15058
803	61452	14981
804	61510	14900
805	61563	14817
806	61628	14738
807	61693	14659
808	61761	14581
809	61829	14503
810	61939	14434
811	62002	14355
812	62080	14279
813	62171	14206
814	62261	14133
815	62354	14060
816	62450	13988
817	62545	13915
818	62637	13843
819	62730	13770
820	62814	13695
821	62902	13621
822	62985	13546
823	63064	13470
824	63123	13389
825	63177	13308
826	63232	13227
827	63284	13145
828	63335	13064
829	63389	12983
830	63442	12902
831	63502	12822
832	63576	12745
833	63658	12670
834	63722	12591
835	63787	12513
836	63839	12432
837	63901	12353
838	63967	12275
839	64049	12199
840	64139	12126
841	64228	12052
842	64317	11978
843	64374	11898
844	64446	11821
845	64525	11745
846	64590	11667
847	64644	11587
848	64718	11510
849	64786	11432
850	64858	11355
851	64938	11280
852	65016	11204
853	65071	11124
854	65135	11046
855	65217	10971
856	65281	10892
857	65337	10813
858	65396	10734
859	65467	10657
860	65550	10582
861	65632	10507
862	65701	10430
863	65755	10350
864	65810	10271
865	65864	10191
866	65937	10114
867	66019	10039
868	66095	9963
869	66145	9883
870	66199	9804
871	66254	9725
872	66312	9646
873	66367	9567
874	66417	9488
875	66485	9411
876	66556	9334
877	66618	9256
878	66672	9177
879	66740	9100
880	66810	9024
