iter	RMSE
643	18931.252
644	18875.09558
645	18855.4488
646	18824.04612
647	18805.58179
648	18782.44116
649	18772.53841
650	18689.64533
651	18660.45856
652	18644.67494
653	18625.62767
654	18604.67339
655	18592.14576
656	18565.67502
657	18534.79116
658	18507.13488
659	18492.40658
660	18440.61218
661	18400.38289
662	18380.95511
663	18367.54015
664	18345.24798
665	18315.75815
666	18306.30792
667	18269.66167
668	18242.34198
669	18227.94877
670	18198.0825
671	18181.62718
672	18159.04328
673	18144.70052
674	18135.65163
675	18114.25638
676	18034.59478
677	18026.20521
678	18006.77692
679	17995.2407
680	17968.55035
681	17928.91543
682	17912.61608
683	17902.63464
684	17877.04197
685	17864.34593
686	17849.75447
687	17826.00822
688	17802.65339
689	17793.51136
690	17780.19665
691	17757.74751
692	17707.88893
693	17696.44736
694	17690.52267
695	17678.38623
696	17630.97174
697	17615.28241
698	17584.89414
699	17561.57928
700	17536.2112
701	17532.30685
702	17511.66183
703	17498.61604
704	17476.49936
705	17468.72056
706	17441.18243
707	17406.78243
708	17398.20484
709	17373.64809
710	17355.08448
711	17318.99808
712	17278.75223
713	17256.05049
714	17231.81559
715	17214.0862
716	17198.71184
717	17184.43485
718	17156.5412
719	17137.26562
720	17117.53127
721	17089.63359
722	17075.05117
723	17057.03652
724	16983.69233
725	16975.85649
726	16949.4208
727	16920.01583
728	16892.34932
729	16868.5925
730	16857.27962
731	16834.08003
732	16822.1536
733	16798.74615
734	16725.39761
735	16702.43858
736	16653.691
737	16633.36594
738	16609.60371
739	16593.25655
740	16563.04918
741	16553.52952
742	16522.8474
743	16492.44619
744	16471.43277
745	16396.86642
746	16380.25699
747	16363.56038
748	16347.53959
749	16296.99106
750	16286.38507
751	16264.00581
752	16253.89621
753	16219.1595
754	16195.58758
755	16175.81345
756	16163.57737
757	16138.47714
758	16127.42801
759	16104.94856
760	16085.18903
761	16075.21635
762	16061.97672
763	15986.77211
764	15968.21295
765	15941.35672
766	15931.76093
767	15911.32496
768	15891.13569
769	15880.18152
770	15867.94537
771	15861.13765
772	15847.12325
773	15803.4588
774	15784.39149
775	15772.8578
776	15766.39743
777	15750.5738
778	15740.43342
779	15719.39705
780	15702.54906
781	15693.02076
782	15681.10585
783	15669.64546
784	15651.29048
785	15634.94675
786	15624.4086
787	15606.60556
788	15544.52871
789	15536.17004
790	15514.24742
791	15500.80581
792	15453.94046
793	15442.17261
794	15413.1546
795	15395.7489
796	15371.16089
797	15353.07784
798	15344.15939
799	15329.49346
800	15306.96185
801	15285.83162
802	15265.67854
803	15243.20892
804	15226.9506
805	15216.82424
806	15200.32849
807	15183.61288
808	15175.15374
809	15161.44127
810	15146.46805
811	15128.25874
812	15110.90734
813	15065.94217
814	15049.85968
815	15034.92884
816	15020.24954
817	14983.08601
818	14958.75881
819	14949.14097
820	14941.36638
821	14876.18497
822	14865.44387
823	14853.58452
824	14841.79859
825	14830.73096
826	14808.41267
827	14792.50315
828	14769.31257
829	14747.01693
830	14734.50818
831	14723.73237
832	14681.48239
833	14668.02745
834	14647.03687
835	14626.88391
836	14621.76749
837	14614.46815
838	14608.96691
839	14592.6972
840	14572.3901
841	14556.12529
842	14545.1705
843	14484.80051
844	14471.95827
845	14460.67981
846	14448.91779
847	14432.35104
848	14418.09782
849	14395.61738
850	14382.29642
851	14370.58562
852	14308.68829
853	14293.26594
854	14284.34789
855	14273.96872
856	14263.55997
857	14253.52885
858	14230.93557
859	14218.13033
860	14180.60898
861	14174.92928
862	14159.99217
863	14141.63899
864	14134.03555
865	14116.79198
866	14110.51605
867	14044.62461
868	14024.76623
869	13968.8777
870	13906.23173
871	13899.55509
872	13881.60367
873	13867.82651
874	13824.13115
875	13814.55971
876	13796.46721
877	13786.84787
878	13782.02868
879	13771.64189
880	13765.13695
881	13750.43798
882	13735.07214
883	13718.12614
884	13703.38628
885	13648.47668
886	13635.38391
887	13620.34353
888	13603.01046
889	13584.96094
890	13570.31443
891	13557.26957
892	13553.11425
893	13541.3913
894	13532.733
895	13480.65745
896	13474.57831
897	13466.42754
898	13457.50927
899	13451.75934
900	13437.7215
901	13421.92011
902	13416.16333
903	13408.55826
904	13393.65318
905	13385.94918
906	13361.89608
907	13352.86463
908	13319.22093
909	13313.10739
910	13304.65065
911	13296.61466
912	13286.3096
913	13266.87243
914	13249.06262
915	13226.8825
916	13175.23816
917	13162.1609
918	13156.65889
919	13116.43871
920	13114.75711
921	13099.15293
922	13095.21319
923	13083.20575
924	13068.02945
925	13050.76263
926	13032.72671
927	13016.20313
928	13010.89874
929	12995.18532
930	12984.9236
931	12933.46466
932	12925.80135
933	12908.20412
934	12900.851
935	12886.59036
936	12877.014
937	12871.46433
938	12860.28781
939	12844.21659
940	12834.96145
941	12822.16698
942	12806.64826
943	12798.62124
944	12790.95389
945	12776.84016
946	12761.52013
947	12755.78764
948	12750.30932
949	12733.71551
950	12710.81535
951	12697.06394
952	12686.54398
953	12678.66674
954	12662.24959
955	12646.96467
956	12639.86113
957	12626.01422
958	12610.14282
959	12581.75601
960	12534.39418
961	12521.04968
962	12507.20415
963	12502.35819
964	12497.24701
965	12483.18482
966	12441.33147
967	12404.53633
968	12390.95428
969	12375.52238
970	12366.89937
971	12357.9943
972	12345.29181
973	12299.47085
974	12284.84755
975	12274.45908
976	12257.32311
977	12242.57569
978	12234.3728
979	12215.51434
980	12209.92881
981	12206.15969
982	12196.95484
983	12184.46617
984	12178.46744
985	12164.65936
986	12160.45331
987	12153.194
988	12143.35404
989	12130.27143
990	12116.80885
991	12109.96374
992	12089.47195
993	12080.09833
994	12066.4384
995	12043.34176
996	12030.34249
997	12018.66968
998	12010.89071
999	11996.90017
